"departamento","anio","pbi","pea_ocupada","pbi_por_trabajador","region"
"Lambayeque",2016,11080412,633.961287928371,17478.0577473556,"Costa"
"Lambayeque",2017,11371483,628.416409738907,18095.4583995103,"Costa"
"Lima",2007,136238703,4284.30145589969,31799.5137369227,"Costa"
"Lima",2008,148415981,4395.42401982479,33766.021282724,"Costa"
"Lima",2009,148910138,4469.78404598478,33314.8394794971,"Costa"
"Lima",2010,164623842,4614.74185715915,35673.4671397942,"Costa"
"Lima",2011,178742876,4718.6301275959,37880.2472680918,"Costa"
"Lima",2012,189597321,4867.3419995144,38952.9482454522,"Costa"
"Lima",2013,200400691,4847.01226461402,41345.1999003676,"Costa"
"Lima",2014,208022491,4828.04541791525,43086.2746709255,"Costa"
"Lima",2015,214469326,4925.69616858165,43540.9165851487,"Costa"
"Lima",2016,220241329,5047.73590136701,43631.7060368303,"Costa"
"Lima",2017,224691974,5190.23241940385,43291.3125739768,"Costa"
"Callao",2007,13386423,439.240220518349,30476.3142687676,"Costa"
"Callao",2008,14627416,444.067323320312,32939.6360232726,"Costa"
"Callao",2009,14288888,468.676554600501,30487.7379927396,"Costa"
"Callao",2010,15689336,479.98146240963,32687.3790525899,"Costa"
"Callao",2011,17563803,482.294796493354,36417.152180994,"Costa"
"Callao",2012,18070083,487.475283653603,37068.7163143239,"Costa"
"Callao",2013,19196199,504.107731225293,38079.5568307223,"Costa"
"Callao",2014,19828477,504.198060080508,39326.7617825303,"Costa"
"Callao",2015,20209052,512.053239695791,39466.7007907344,"Costa"
"Callao",2016,20690862,529.008767676677,39112.5124274801,"Costa"
"Callao",2017,21400320,533.479507376916,40114.6055360664,"Costa"
"Loreto",2007,6910964,461.500587998613,14974.9841705961,"Selva"
"Loreto",2008,7324982,441.699867422697,16583.6182898152,"Selva"
"Loreto",2009,7374935,448.061862963624,16459.6356208936,"Selva"
"Loreto",2010,7906943,455.5734666863,17356.0217576161,"Selva"
"Loreto",2011,7608889,462.342552228122,16457.2543957532,"Selva"
"Loreto",2012,8212422,485.42171568453,16918.1182766392,"Selva"
"Loreto",2013,8505693,499.285745118309,17035.7216947672,"Selva"
"Loreto",2014,8779305,493.484357104738,17790.4423384522,"Selva"
"Loreto",2015,8584514,495.346880164421,17330.3079998213,"Selva"
"Loreto",2016,7602217,500.078040112207,15202.0612588672,"Selva"
"Loreto",2017,8087444,505.059343908663,16012.8588799311,"Selva"
"Madre de Dios",2007,1864543,61.9876712020011,30079.2555010489,"Selva"
"Madre de Dios",2008,1902177,64.4846619865518,29498.1308950134,"Selva"
"Madre de Dios",2009,2033411,66.8733907058291,30406.8775119363,"Selva"
"Madre de Dios",2010,2229180,69.3357542487333,32150.51201438,"Selva"
"Madre de Dios",2011,2454999,68.6630935802239,35754.2731035218,"Selva"
"Madre de Dios",2012,1950139,72.3376188222941,26958.8497900483,"Selva"
"Madre de Dios",2013,2240082,75.0102373236982,29863.6836773783,"Selva"
"Madre de Dios",2014,1923155,75.9096850554067,25334.7777506425,"Selva"
"Madre de Dios",2015,2346810,79.0290788120723,29695.525182327,"Selva"
"Madre de Dios",2016,2663699,77.8478130722748,34216.74797116,"Selva"
"Madre de Dios",2017,2409050,81.9086790025869,29411.4131656783,"Selva"
"Moquegua",2007,7525100,89.2617110550442,84303.7839075207,"Costa"
"Moquegua",2008,8663619,87.2026720175329,99350.3845645705,"Costa"
"Moquegua",2009,8436303,90.2196396723647,93508.4980458433,"Costa"
"Moquegua",2010,8457008,94.8859097656576,89128.1753095534,"Costa"
"Moquegua",2011,7785269,93.9111049284207,82900.4089125983,"Costa"
"Moquegua",2012,7756800,98.3089762989784,78902.2558470137,"Costa"
"Moquegua",2013,8598669,100.606274262484,85468.5163826452,"Costa"
"Moquegua",2014,8371348,100.216712993414,83532.4543177759,"Costa"
"Moquegua",2015,8693747,99.6738035984618,87221.984976343,"Costa"
"Moquegua",2016,8635514,101.465333392798,85108.0237086466,"Costa"
"Moquegua",2017,8696704,102.279218150881,85029.0426269265,"Costa"
"Pasco",2007,5486459,127.853659933563,42912.0214693183,"Sierra"
"Pasco",2008,5416732,127.238790976391,42571.3884770019,"Sierra"
"Pasco",2009,5040946,148.424885064103,33962.9435981902,"Sierra"
"Pasco",2010,4702403,148.970613772225,31565.9772147409,"Sierra"
"Pasco",2011,4641887,149.023745794522,31148.6399382308,"Sierra"
"Pasco",2012,4880072,152.122777581646,32079.8244521982,"Sierra"
"Pasco",2013,4885819,153.39016045888,31852.2321469882,"Sierra"
"Pasco",2014,5046668,151.481027416424,33315.512088036,"Sierra"
"Pasco",2015,5211406,152.771108598504,34112.5101978283,"Sierra"
"Pasco",2016,5329324,160.171224028934,33272.6682480574,"Sierra"
"Pasco",2017,5333755,159.964325320721,33343.4032200997,"Sierra"
"Piura",2007,12651720,828.614693292439,15268.5199796896,"Costa"
"Piura",2008,13580502,811.857340783558,16727.6950244644,"Costa"
"Piura",2009,13998851,848.0244894133,16507.6022859729,"Costa"
"Piura",2010,15106528,859.283058943749,17580.3861635179,"Costa"
"Piura",2011,16366999,842.760443608459,19420.7014865591,"Costa"
"Piura",2012,17066135,867.584062116424,19670.8719595057,"Costa"
"Piura",2013,17746782,869.356845002542,20413.69099699,"Costa"
"Piura",2014,18750443,890.144216048195,21064.5001809289,"Costa"
"Piura",2015,18866671,887.539096880409,21257.2844016833,"Costa"
"Piura",2016,18924869,894.581920682367,21154.9871090224,"Costa"
"Piura",2017,18473111,904.966402858157,20413.0351598207,"Costa"
"Puno",2007,5888474,713.593312337026,8251.86264808899,"Sierra"
"Puno",2008,6328455,717.242265434143,8823.31578182919,"Sierra"
"Puno",2009,6587873,736.167642938626,8948.87606537908,"Sierra"
"Puno",2010,6980479,759.164343334649,9194.95108178825,"Sierra"
"Puno",2011,7384505,765.11643451327,9651.47873826245,"Sierra"
"Puno",2012,7734458,765.235853801894,10107.2864811197,"Sierra"
"Puno",2013,8294320,780.965035920389,10620.6035078445,"Sierra"
"Puno",2014,8487313,795.733637888724,10666.0226436059,"Sierra"
"Puno",2015,8519702,775.85467484002,10981.0538961523,"Sierra"
"Puno",2016,9075999,770.923141229215,11772.8973416579,"Sierra"
"Puno",2017,9434737,775.052852918608,12173.0240260025,"Sierra"
"San Martin",2007,3266254,393.581380512897,8298.80213272175,"Selva"
"San Martin",2008,3598432,392.115842776469,9176.96151861769,"Selva"
"San Martin",2009,3740600,390.265369453695,9584.76024976595,"Selva"
"San Martin",2010,4034361,418.31493176217,9644.31506904398,"Selva"
"San Martin",2011,4245537,429.375933157573,9887.6920482685,"Selva"
"San Martin",2012,4752177,415.878135146962,11426.8498350381,"Selva"
"San Martin",2013,4828116,429.11167755181,11251.4206733912,"Selva"
"San Martin",2014,5173301,430.79254471908,12008.798813762,"Selva"
"San Martin",2015,5466266,418.854196732007,13050.5222166783,"Selva"
"San Martin",2016,5588107,446.494366249337,12515.5151383913,"Selva"
"San Martin",2017,5944145,472.239951588101,12587.1285985236,"Selva"
"Tacna",2007,5143137,155.368819872489,33102.7615722445,"Costa"
"Tacna",2008,5016741,164.515914121684,30493.955717192,"Costa"
"Tacna",2009,4823192,157.179162678032,30685.9504645657,"Costa"
"Tacna",2010,5338879,166.850445089702,31997.9907583088,"Costa"
"Tacna",2011,5466509,169.832992521589,32187.5562506213,"Costa"
"Tacna",2012,5526840,169.579746113258,32591.392112999,"Costa"
"Tacna",2013,5781849,172.541696738562,33509.8652052828,"Costa"
"Tacna",2014,6094038,178.000436638256,34236.0845573918,"Costa"
"Tacna",2015,6598403,173.259497028668,38083.9325587341,"Costa"
"Tacna",2016,6506248,182.47850560603,35654.8733144876,"Costa"
"Tacna",2017,6584715,179.523985802978,36678.7478037978,"Costa"
"Tumbes",2007,1637185,118.509219955846,13814.8323025835,"Costa"
"Tumbes",2008,1902059,114.663939467576,16588.1183642557,"Costa"
"Tumbes",2009,2082047,116.11209474972,17931.3533571835,"Costa"
"Tumbes",2010,2307874,120.216525158789,19197.6435598319,"Costa"
"Tumbes",2011,2168906,121.585316965486,17838.552007194,"Costa"
"Tumbes",2012,2440755,123.224216231608,19807.4296971988,"Costa"
"Tumbes",2013,2491026,123.639642638128,20147.470073905,"Costa"
"Tumbes",2014,2607186,125.053212963617,20848.6126682609,"Costa"
"Tumbes",2015,2540855,124.699447221565,20375.8321036134,"Costa"
"Tumbes",2016,2507255,128.882864491097,19453.7498052986,"Costa"
"Tumbes",2017,2649033,132.282826828566,20025.5245787351,"Costa"
"Ucayali",2007,3054659,219.128495662032,13940.0354607978,"Selva"
"Ucayali",2008,3212843,231.721111756778,13865.1285402614,"Selva"
"Ucayali",2009,3243767,241.062874136938,13456.1035647378,"Selva"
"Ucayali",2010,3351315,248.831828539908,13468.1926330116,"Selva"
"Ucayali",2011,3548168,253.14367036838,14016.4199833108,"Selva"
"Ucayali",2012,3882453,258.193076999005,15037.0143348768,"Selva"
"Ucayali",2013,3947464,259.298952735203,15223.6017861251,"Selva"
"Ucayali",2014,3957775,271.647636446098,14569.5175256396,"Selva"
"Ucayali",2015,4163474,267.193000019621,15582.2719895142,"Selva"
"Ucayali",2016,4176645,275.004154912511,15187.5705344479,"Selva"
"Ucayali",2017,4305190,270.965619002059,15888.3256697127,"Selva"
